"Choose the antonym for 'famine'.","[""meticulous"",""retreat"",""abundance"",""startle""]","abundance","ant","famine"
"Choose the antonym for 'fatigue'.","[""piscine"",""energy"",""meld"",""criticism""]","energy","ant","fatigue"
"Choose the antonym for 'feign'.","[""immaterial"",""be genuine"",""absurd"",""stroll""]","be genuine","ant","feign"
"Choose the antonym for 'flamboyant'.","[""substantial"",""coax"",""dawdle"",""modest""]","modest","ant","flamboyant"
"Choose the antonym for 'frivolous'.","[""penetrate"",""serious"",""diluted"",""clamour""]","serious","ant","frivolous"
"Choose the antonym for 'gratitude'.","[""trickle"",""dais"",""notion"",""ingratitude""]","ingratitude","ant","gratitude"
"Choose the antonym for 'gregarious'.","[""besotted"",""vanity"",""solitary"",""devout""]","solitary","ant","gregarious"
"Choose the antonym for 'grotesque'.","[""disguise"",""mumble"",""poverty"",""beautiful""]","beautiful","ant","grotesque"
"Choose the antonym for 'helix' (a shape).","[""straight line"",""molten"",""cellar"",""malicious""]","straight line","ant","helix"
"Choose the antonym for 'hygienic'.","[""unhygienic"",""wary"",""prose"",""suppress""]","unhygienic","ant","hygienic"
"Choose the antonym for 'idiosyncrasy'.","[""riveting"",""radiant"",""replete"",""normality""]","normality","ant","idiosyncrasy"
"Choose the antonym for 'immerse' (in liquid).","[""lucid"",""hasty"",""emerge"",""impede""]","emerge","ant","immerse"
"Choose the antonym for 'impudent'.","[""respectful"",""stingy"",""sole"",""lout""]","respectful","ant","impudent"
"Choose the antonym for 'inaugural'.","[""final"",""criticism"",""stroll"",""sullen""]","final","ant","inaugural"
"Choose the antonym for 'inconspicuous'.","[""chortle"",""frivolous"",""conspicuous"",""perilous""]","conspicuous","ant","inconspicuous"
"Choose the antonym for 'innocuous'.","[""dextrous"",""harmful"",""deliberate"",""voluntary""]","harmful","ant","innocuous"
"Choose the antonym for 'insolent'.","[""respectful"",""irksome"",""substantial"",""authentic""]","respectful","ant","insolent"
"Choose the antonym for 'lament'.","[""unkempt"",""shack"",""dictate"",""rejoice""]","rejoice","ant","lament"
"Choose the antonym for 'lavish'.","[""deteriorate"",""meagre"",""trivia"",""ostentatious""]","meagre","ant","lavish"
"Choose the antonym for 'malady'.","[""sullen"",""domestic"",""health"",""corvine""]","health","ant","malady"
"Choose the antonym for 'matte' (a surface finish).","[""shuffle"",""glossy"",""dingy"",""aggravation""]","glossy","ant","matte"
"Choose the antonym for 'meagre'.","[""diluted"",""conceited"",""fatal"",""abundant""]","abundant","ant","meagre"
"Choose the antonym for 'melancholy'.","[""happiness"",""inflame"",""ancient"",""apathy""]","happiness","ant","melancholy"
"Choose the antonym for 'meticulous'.","[""careless"",""cellar"",""abhor"",""prose""]","careless","ant","meticulous"
"Choose the antonym for 'nauseous'.","[""notion"",""well"",""melodious"",""ambulatory""]","well","ant","nauseous"
"Choose the antonym for 'nimble'.","[""ramble"",""clumsy"",""concede"",""fret""]","clumsy","ant","nimble"
"Choose the antonym for 'nuisance'.","[""witty"",""deter"",""help"",""wither""]","help","ant","nuisance"
"Choose the antonym for 'obstinate'.","[""ancient"",""perceive"",""clemency"",""compliant""]","compliant","ant","obstinate"
"Choose the antonym for 'oppress'.","[""sanction"",""fleet"",""liberate"",""prohibit""]","liberate","ant","oppress"
"Choose the antonym for 'ordeal'.","[""cellar"",""toil"",""irate"",""pleasure""]","pleasure","ant","ordeal"
"Choose the antonym for 'ostentatious'.","[""gratifying"",""brittle"",""modest"",""strenuous""]","modest","ant","ostentatious"
"Choose the antonym for 'peril'.","[""insignificant"",""apprehend"",""safety"",""famished""]","safety","ant","peril"
"Choose the antonym for 'perish' (in a disaster).","[""wander"",""endure"",""conceited"",""polarity""]","endure","ant","perish"
"Choose the antonym for 'pioneer'.","[""ferocious"",""populous"",""follower"",""splendid""]","follower","ant","pioneer"
"Choose the antonym for 'placid'.","[""gloomy"",""agitated"",""reprimand"",""apprehension""]","agitated","ant","placid"
"Choose the antonym for 'polarity'.","[""similarity"",""radiant"",""precarious"",""furious""]","similarity","ant","polarity"
"Choose the antonym for 'pompous'.","[""supple"",""humble"",""piscine"",""timid""]","humble","ant","pompous"
"Choose the antonym for 'precarious'.","[""glut"",""safe"",""vein"",""frugal""]","safe","ant","precarious"
"Choose the antonym for 'prohibit'.","[""radiant"",""mediocre"",""deteriorate"",""allow""]","allow","ant","prohibit"
"Choose the antonym for 'provoke'.","[""calm"",""poetry"",""sated"",""resentful""]","calm","ant","provoke"
"Choose the antonym for 'quaint' (describing an old village).","[""forgo"",""abridge"",""modern"",""threadbare""]","modern","ant","quaint"
"Choose the antonym for 'quench' (a fire).","[""diplomatic"",""omen"",""ignite"",""avowed""]","ignite","ant","quench"
"Choose the antonym for 'reprimand'.","[""slander"",""encompass"",""praise"",""surmise""]","praise","ant","reprimand"
"Choose the antonym for 'restrain'.","[""release"",""probable"",""concur"",""dilapidated""]","release","ant","restrain"
"Choose the antonym for 'rigid' (a material).","[""tenuous"",""cork"",""gravely"",""pliable""]","pliable","ant","rigid"
"Choose the antonym for 'scanty'.","[""enrage"",""besieged"",""plentiful"",""censorious""]","plentiful","ant","scanty"
"Choose the antonym for 'seize'.","[""despair"",""congregate"",""release"",""fragrant""]","release","ant","seize"
"Choose the antonym for 'stern'.","[""waver"",""demean"",""lenient"",""platonic""]","lenient","ant","stern"
"Choose the antonym for 'submissive'.","[""defiant"",""sequence"",""discord"",""satiated""]","defiant","ant","submissive"
"Choose the antonym for 'succumb'.","[""faux"",""humid"",""resist"",""tangle""]","resist","ant","succumb"
"Choose the antonym for 'tempestuous'.","[""gloomy"",""conserve"",""tranquil"",""affluence""]","tranquil","ant","tempestuous"
"Choose the antonym for 'tranquil'.","[""perish"",""irritate"",""turbulent"",""torment""]","turbulent","ant","tranquil"
"Choose the antonym for 'turbulent'.","[""humid"",""urge"",""urban"",""tranquil""]","tranquil","ant","turbulent"
"Choose the antonym for 'vicarious'.","[""amoral"",""direct"",""unkempt"",""banish""]","direct","ant","vicarious"
"Choose the antonym for 'virtuous'.","[""tedious"",""imposing"",""merchant"",""wicked""]","wicked","ant","virtuous"
"Choose the antonym for 'wither'.","[""placid"",""hygienic"",""fringe"",""flourish""]","flourish","ant","wither"
"Choose the antonym for 'wretched'.","[""inane"",""covert"",""happy"",""scrupulous""]","happy","ant","wretched"
"Choose the antonym for 'absurd'.","[""inane"",""sensible"",""artefact"",""loathe""]","sensible","ant","absurd"
"Choose the antonym for 'adhere'.","[""gregarious"",""severe"",""husk"",""detach""]","detach","ant","adhere"
"Choose the antonym for 'advice'.","[""misguidance"",""polarity"",""fester"",""vain""]","misguidance","ant","advice"
"Choose the antonym for 'ancient'.","[""modern"",""viscous"",""solace"",""perish""]","modern","ant","ancient"
"Choose the antonym for 'apparent' (describing an obvious fact).","[""deficient"",""hidden"",""intentional"",""absolve""]","hidden","ant","apparent"
"Choose the antonym for 'banish'.","[""stagnant"",""lofty"",""ursine"",""welcome""]","welcome","ant","banish"
"Choose the antonym for 'brusque'.","[""rigorous"",""polite"",""hapless"",""scatter""]","polite","ant","brusque"
"Choose the antonym for 'calamity'.","[""urge"",""agitated"",""blessing"",""demolished""]","blessing","ant","calamity"
"Choose the antonym for 'caulk'.","[""token"",""nauseous"",""open"",""acrid""]","open","ant","caulk"
"Choose the antonym for 'clemency'.","[""wretched"",""choreographer"",""severity"",""drought""]","severity","ant","clemency"
"Choose the antonym for 'coax'.","[""queasy"",""contemplate"",""meagre"",""deter""]","deter","ant","coax"
"Choose the antonym for 'commence'.","[""notion"",""loathsome"",""cinch"",""finish""]","finish","ant","commence"
"Choose the antonym for 'compliment'.","[""criticism"",""pioneer"",""pilfer"",""trough""]","criticism","ant","compliment"
"Choose the antonym for 'conceal'.","[""boastful"",""disclose"",""melodious"",""passive""]","disclose","ant","conceal"
"Choose the antonym for 'conceit'.","[""queasy"",""humility"",""concede"",""relish""]","humility","ant","conceit"
"Choose the antonym for 'condemn'.","[""praise"",""dazzling"",""crevice"",""impudent""]","praise","ant","condemn"
"Choose the antonym for 'controversy'.","[""agreement"",""witty"",""cellar"",""unfathomable""]","agreement","ant","controversy"
"Choose the antonym for 'deceit'.","[""meek"",""besotted"",""honesty"",""fusion""]","honesty","ant","deceit"
"Choose the antonym for 'deliberate'.","[""relish"",""exorbitant"",""rowdy"",""accidental""]","accidental","ant","deliberate"
"Choose the antonym for 'derelict'.","[""intricate"",""hustle"",""maintained"",""unkempt""]","maintained","ant","derelict"
"Choose the antonym for 'despise'.","[""flog"",""molten"",""scrupulous"",""admire""]","admire","ant","despise"
"Choose the antonym for 'din'.","[""gadget"",""wither"",""conspicuous"",""silence""]","silence","ant","din"
"Choose the antonym for 'disclose'.","[""conceal"",""commence"",""dais"",""corvine""]","conceal","ant","disclose"
"Choose the antonym for 'dispute'.","[""agreement"",""infamy"",""virtuous"",""enterprise""]","agreement","ant","dispute"
"Choose the antonym for 'distress'.","[""volatile"",""deficient"",""valour"",""comfort""]","comfort","ant","distress"
"Choose the antonym for 'economical'.","[""wasteful"",""foam"",""nebulous"",""enmity""]","wasteful","ant","economical"
"Choose the antonym for 'elude'.","[""turbulent"",""pigment"",""tardy"",""confront""]","confront","ant","elude"
"Choose the antonym for 'emerge'.","[""obedient"",""vanish"",""reckless"",""moan""]","vanish","ant","emerge"
"Choose the antonym for 'endure'.","[""diplomatic"",""succumb"",""caption"",""severe""]","succumb","ant","endure"
"Choose the antonym for 'exaggerate'.","[""punctual"",""voluntary"",""industrious"",""understate""]","understate","ant","exaggerate"
"Choose the antonym for 'extinction'.","[""solitary"",""opaque"",""factual"",""survival""]","survival","ant","extinction"
"Choose the antonym for 'factual'.","[""false"",""smirk"",""scatter"",""hinder""]","false","ant","factual"
"Choose the antonym for 'fatal'.","[""permeate"",""thrive"",""harmless"",""peril""]","harmless","ant","fatal"
"Choose the antonym for 'feeble'.","[""placate"",""strong"",""salient"",""boastful""]","strong","ant","feeble"
"Choose the antonym for 'fertile'.","[""severe"",""barren"",""congregate"",""steadfast""]","barren","ant","fertile"
"Choose the antonym for 'flourish'.","[""wither"",""jubilant"",""sated"",""blunt""]","wither","ant","flourish"
"Choose the antonym for 'grave' (a warning).","[""rebuke"",""trivial"",""apprehend"",""dictate""]","trivial","ant","grave"
"Choose the antonym for 'grieve'.","[""prophecy"",""grit"",""rejoice"",""foam""]","rejoice","ant","grieve"
"Choose the antonym for 'hasty'.","[""replete"",""quench"",""eccentric"",""deliberate""]","deliberate","ant","hasty"
"Choose the antonym for 'hindrance'.","[""subterfuge"",""complement"",""help"",""rowdy""]","help","ant","hindrance"
"Choose the antonym for 'hoax'.","[""truth"",""lavish"",""commence"",""conscience""]","truth","ant","hoax"
"Choose the antonym for 'ignorant'.","[""knowledgeable"",""sanction"",""dismal"",""moan""]","knowledgeable","ant","ignorant"
"Choose the antonym for 'imitate'.","[""foil"",""differ"",""prejudice"",""snub""]","differ","ant","imitate"
"Choose the antonym for 'inaugurate'.","[""compliment"",""celestial"",""apparent"",""close""]","close","ant","inaugurate"
"Choose the antonym for 'inferior'.","[""nullify"",""factual"",""superior"",""rebuke""]","superior","ant","inferior"
"Choose the antonym for 'interfere'.","[""choreographer"",""doltish"",""abstain"",""restrain""]","abstain","ant","interfere"
"Choose the antonym for 'interrogate'.","[""deceit"",""factual"",""answer"",""confront""]","answer","ant","interrogate"
"Choose the antonym for 'isolation'.","[""company"",""pigment"",""conceited"",""perilous""]","company","ant","isolation"
"Choose the antonym for 'lenient'.","[""insipid"",""innocuous"",""deduct"",""severe""]","severe","ant","lenient"
"Choose the antonym for 'liable' (for damage).","[""chortle"",""inferior"",""chronicle"",""exempt""]","exempt","ant","liable"
"Choose the antonym for 'linger'.","[""irksome"",""exaggerate"",""urban"",""leave""]","leave","ant","linger"
"Choose the antonym for 'lofty' (a tower).","[""humid"",""abandon"",""low"",""dextrous""]","low","ant","lofty"
"Choose the antonym for 'majestic'.","[""ordinary"",""scripture"",""clamour"",""sequence""]","ordinary","ant","majestic"
"Choose the antonym for 'margin' (of a page).","[""peril"",""snivel"",""centre"",""authentic""]","centre","ant","margin"
"Choose the antonym for 'oblige' (a rule obliges someone to act).","[""howl"",""overt"",""release"",""stricken""]","release","ant","oblige"
"Choose the antonym for 'offend'.","[""floppy"",""favoured"",""please"",""stalwart""]","please","ant","offend"
"Choose the antonym for 'opportunity'.","[""populous"",""hindrance"",""banish"",""fracas""]","hindrance","ant","opportunity"
"Choose the antonym for 'painstaking'.","[""froth"",""hasty"",""tenuous"",""grotesque""]","hasty","ant","painstaking"
"Choose the antonym for 'passive'.","[""exorbitant"",""active"",""supple"",""diminish""]","active","ant","passive"
"Choose the antonym for 'peculiar' (a habit).","[""discordant"",""lout"",""lenient"",""conventional""]","conventional","ant","peculiar"
"Choose the antonym for 'perceive'.","[""refute"",""reckless"",""fortitude"",""overlook""]","overlook","ant","perceive"
"Choose the antonym for 'perplexed'.","[""assent"",""despise"",""succumb"",""certain""]","certain","ant","perplexed"
"Choose the antonym for 'plunder'.","[""raucous"",""intentional"",""protect"",""wavy""]","protect","ant","plunder"
"Choose the antonym for 'pretence'.","[""truth"",""scripture"",""rupture"",""imperative""]","truth","ant","pretence"
"Choose the antonym for 'proclaim'.","[""calamity"",""conceal"",""adept"",""tempestuous""]","conceal","ant","proclaim"
"Choose the antonym for 'relevant'.","[""resort to"",""irrelevant"",""superficial"",""petite""]","irrelevant","ant","relevant"
"Choose the antonym for 'repent'.","[""remain unrepentant"",""diminish"",""revolve"",""flamboyant""]","remain unrepentant","ant","repent"
"Choose the antonym for 'resort to'.","[""despicable"",""endeavour"",""avoid"",""yield""]","avoid","ant","resort to"
"Choose the antonym for 'retreat'.","[""devout"",""filth"",""stroll"",""advance""]","advance","ant","retreat"
"Choose the antonym for 'rowdy'.","[""repent"",""tempestuous"",""unfathomable"",""quiet""]","quiet","ant","rowdy"
"Choose the antonym for 'sanguine'.","[""gloomy"",""jaded"",""covert"",""deliberate""]","gloomy","ant","sanguine"
"Choose the antonym for 'sanitary'.","[""rebuttal"",""empire"",""dwindle"",""unsanitary""]","unsanitary","ant","sanitary"
"Choose the antonym for 'stationary' (a vehicle).","[""scanty"",""shrewd"",""mobile"",""desist""]","mobile","ant","stationary"
"Choose the antonym for 'sturdy'.","[""diluted"",""grit"",""lupine"",""fragile""]","fragile","ant","sturdy"
"Choose the antonym for 'subdued'.","[""lively"",""cellar"",""vulpine"",""auspicious""]","lively","ant","subdued"
"Choose the antonym for 'subterfuge'.","[""honesty"",""impair"",""royal"",""confront""]","honesty","ant","subterfuge"
"Choose the antonym for 'subterranean'.","[""barb"",""gregarious"",""aboveground"",""barren""]","aboveground","ant","subterranean"
"Choose the antonym for 'summit' (of a mountain).","[""congregate"",""savvy"",""perplexed"",""base""]","base","ant","summit"
"Choose the antonym for 'superfluous'.","[""flamboyant"",""essential"",""subdued"",""impart""]","essential","ant","superfluous"
"Choose the antonym for 'torment' (a feeling).","[""inaugural"",""comfort"",""pioneer"",""animosity""]","comfort","ant","torment"
"Choose the antonym for 'trivia'.","[""scripture"",""opportunity"",""repent"",""essentials""]","essentials","ant","trivia"
"Choose the antonym for 'trivial'.","[""covert"",""important"",""smug"",""pious""]","important","ant","trivial"
"Choose the antonym for 'unfathomable'.","[""opportunity"",""yield"",""clear"",""conserve""]","clear","ant","unfathomable"
"Choose the antonym for 'unsurpassed'.","[""valour"",""thrifty"",""potential"",""inferior""]","inferior","ant","unsurpassed"
"Choose the antonym for 'vanish'.","[""auspicious"",""perplexed"",""smother"",""emerge""]","emerge","ant","vanish"
"Choose the antonym for 'volatile' (a situation).","[""stable"",""trickle"",""dismay"",""censure""]","stable","ant","volatile"
"Choose the antonym for 'yield' (in a contest).","[""dismal"",""resist"",""veto"",""diminish""]","resist","ant","yield"
"Choose the antonym for 'tardy'.","[""punctual"",""mobile"",""disarray"",""elude""]","punctual","ant","tardy"
"Choose the antonym for 'punctual'.","[""poetry"",""arid"",""tardy"",""impartial""]","tardy","ant","punctual"
"Choose the antonym for 'deteriorate'.","[""improve"",""facilitate"",""glum"",""impervious""]","improve","ant","deteriorate"
"Choose the antonym for 'thrive'.","[""decline"",""twine"",""shell"",""malign""]","decline","ant","thrive"
"Choose the antonym for 'imperative'.","[""feud"",""imperious"",""optional"",""vulgar""]","optional","ant","imperative"
"Choose the antonym for 'lout'.","[""gentleman"",""whimper"",""feeble"",""choreographer""]","gentleman","ant","lout"
"Choose the antonym for 'viscous'.","[""runny"",""break a leg"",""idiosyncrasy"",""ovine""]","runny","ant","viscous"
"Choose the antonym for 'vicious'.","[""bovine"",""permeate"",""gentle"",""brusque""]","gentle","ant","vicious"
"Choose the antonym for 'gravely'.","[""intentional"",""lout"",""light-heartedly"",""clemency""]","light-heartedly","ant","gravely"
"Choose the antonym for 'boldness'.","[""timidity"",""imperious"",""decrepit"",""deceit""]","timidity","ant","boldness"
"Choose the antonym for 'fortitude'.","[""cowardice"",""obtuse"",""concur"",""perish""]","cowardice","ant","fortitude"
"Choose the antonym for 'grit' (a personal quality).","[""weakness"",""chronicle"",""disarray"",""tempestuous""]","weakness","ant","grit"
"Choose the antonym for 'apprehension'.","[""confidence"",""torment"",""turbulent"",""choreographer""]","confidence","ant","apprehension"
"Choose the antonym for 'rivet' (an audience).","[""bore"",""fret"",""contempt"",""wither""]","bore","ant","rivet"
"Choose the antonym for 'riveting'.","[""tedious"",""volatile"",""docile"",""baffle""]","tedious","ant","riveting"
"Choose the antonym for 'tedious'.","[""opaque"",""interesting"",""sage"",""trough""]","interesting","ant","tedious"
"Choose the antonym for 'apathy'.","[""veto"",""blot"",""wholesome"",""enthusiasm""]","enthusiasm","ant","apathy"
"Choose the antonym for 'veto'.","[""approve"",""cinch"",""memoir"",""corvine""]","approve","ant","veto"
"Choose the antonym for 'agitated'.","[""godsend"",""calm"",""snicker"",""liable""]","calm","ant","agitated"
"Choose the antonym for 'haughty'.","[""filth"",""thwart"",""humble"",""subordinate""]","humble","ant","haughty"
"Choose the antonym for 'sanction' (permission).","[""scripture"",""prohibition"",""fatigue"",""impartial""]","prohibition","ant","sanction"
"Choose the antonym for 'rectify'.","[""worsen"",""shell"",""proxy"",""probable""]","worsen","ant","rectify"
"Choose the antonym for 'feud'.","[""peace"",""insignia"",""molten"",""pretence""]","peace","ant","feud"
"Choose the antonym for 'startle'.","[""diluted"",""hamper"",""veteran"",""reassure""]","reassure","ant","startle"
"Choose the antonym for 'savage'.","[""virtuous"",""gentle"",""ravenous"",""dearth""]","gentle","ant","savage"
"Choose the antonym for 'ferocious'.","[""divulge"",""concede"",""diplomatic"",""gentle""]","gentle","ant","ferocious"
"Choose the antonym for 'callous'.","[""composition"",""compassionate"",""inferior"",""perplexed""]","compassionate","ant","callous"
"Choose the antonym for 'demean'.","[""token"",""bewildered"",""dignify"",""temperate""]","dignify","ant","demean"
"Choose the antonym for 'animosity'.","[""refute"",""friendship"",""legend"",""stationary""]","friendship","ant","animosity"
"Choose the antonym for 'besotted'.","[""flog"",""rural"",""indifferent"",""pensive""]","indifferent","ant","besotted"
"Choose the antonym for 'relish'.","[""felicitous"",""dread"",""fertile"",""docile""]","dread","ant","relish"
"Choose the antonym for 'abhor'.","[""adore"",""thrive"",""adolescent"",""gloomy""]","adore","ant","abhor"
"Choose the antonym for 'loathe'.","[""curtail"",""opaque"",""arid"",""love""]","love","ant","loathe"
"Choose the antonym for 'enmity'.","[""kindle"",""enchant"",""friendship"",""implore""]","friendship","ant","enmity"
"Choose the antonym for 'steadfast'.","[""glum"",""fickle"",""memoir"",""howl""]","fickle","ant","steadfast"
"Choose the antonym for 'supple'.","[""frigid"",""abridge"",""mumble"",""rigid""]","rigid","ant","supple"
"Choose the antonym for 'potent'.","[""weak"",""voluntary"",""invigorated"",""valour""]","weak","ant","potent"
"Choose the antonym for 'conceited'.","[""modest"",""consonant"",""ignorant"",""moan""]","modest","ant","conceited"
"Choose the antonym for 'pretentious'.","[""modest"",""ambiguous"",""gloomy"",""interfere""]","modest","ant","pretentious"
"Choose the antonym for 'malicious'.","[""imposing"",""crop"",""kind"",""isolation""]","kind","ant","malicious"
"Choose the antonym for 'fret'.","[""drowsy"",""relax"",""fester"",""abrupt""]","relax","ant","fret"
"Choose the antonym for 'obscene'.","[""factual"",""relish"",""scalding"",""decent""]","decent","ant","obscene"
"Choose the antonym for 'vulgar'.","[""stern"",""deplete"",""pigment"",""refined""]","refined","ant","vulgar"
"Choose the antonym for 'cordial'.","[""seize"",""cellar"",""hostile"",""unsurpassed""]","hostile","ant","cordial"
"Choose the antonym for 'demolish' (a building).","[""hawk"",""drowsy"",""sullen"",""build""]","build","ant","demolish"
"Choose the antonym for 'facile'.","[""pivotal"",""sombre"",""difficult"",""rectify""]","difficult","ant","facile"
"Choose the antonym for 'cinch'.","[""gravely"",""challenge"",""glut"",""serpentine""]","challenge","ant","cinch"
"Choose the antonym for 'intricate'.","[""repulsive"",""intrigue"",""steadfast"",""simple""]","simple","ant","intricate"
"Choose the antonym for 'prejudice'.","[""taut"",""turbulent"",""repulsive"",""impartiality""]","impartiality","ant","prejudice"
"Choose the antonym for 'bedlam'.","[""eccentric"",""dismal"",""submissive"",""order""]","order","ant","bedlam"
"Choose the antonym for 'favoured'.","[""unfavoured"",""warp"",""procrastinate"",""hindrance""]","unfavoured","ant","favoured"
"Choose the antonym for 'impediment'.","[""flamboyant"",""aromatic"",""aid"",""club""]","aid","ant","impediment"
"Choose the antonym for 'acrid'.","[""criticism"",""salient"",""stationary"",""mild""]","mild","ant","acrid"
"Choose the antonym for 'acid' (describing a substance).","[""relish"",""alkaline"",""forthwith"",""bovine""]","alkaline","ant","acid"
"Choose the antonym for 'arid'.","[""viscous"",""dictate"",""moist"",""scruffy""]","moist","ant","arid"
"Choose the antonym for 'pungent'.","[""inaugural"",""bland"",""malign"",""complement""]","bland","ant","pungent"
"Choose the antonym for 'toil'.","[""rest"",""insignia"",""pretence"",""probate""]","rest","ant","toil"
"Choose the antonym for 'coil' (a rope, as a verb).","[""jubilant"",""affluence"",""imperious"",""uncoil""]","uncoil","ant","coil"
"Choose the antonym for 'wholesome'.","[""stationary"",""arduous"",""adhere"",""unhealthy""]","unhealthy","ant","wholesome"
"Choose the antonym for 'pious'.","[""impious"",""censure"",""dearth"",""acrid""]","impious","ant","pious"
"Choose the antonym for 'mellow'.","[""harsh"",""succumb"",""hygienic"",""antiquity""]","harsh","ant","mellow"
"Choose the antonym for 'faux'.","[""authentic"",""sweltering"",""tranquil"",""diplomatic""]","authentic","ant","faux"
"Choose the antonym for 'platonic'.","[""romantic"",""ambulatory"",""elude"",""arid""]","romantic","ant","platonic"
"Choose the antonym for 'fluctuate'.","[""relish"",""auspicious"",""settee"",""stabilise""]","stabilise","ant","fluctuate"
"Choose the antonym for 'concur'.","[""calamity"",""sanction"",""disagree"",""grieve""]","disagree","ant","concur"
"Choose the antonym for 'auspicious'.","[""summit"",""inauspicious"",""vex"",""purloin""]","inauspicious","ant","auspicious"
"Choose the antonym for 'wander'.","[""compulsory"",""stay"",""adverse"",""folly""]","stay","ant","wander"
"Choose the antonym for 'ramble' (on foot).","[""irate"",""hurry"",""valour"",""conscience""]","hurry","ant","ramble"
"Choose the antonym for 'regal'.","[""snicker"",""ordeal"",""intentional"",""common""]","common","ant","regal"
"Choose the antonym for 'submerge'.","[""fatal"",""fringe"",""emerge"",""pretentious""]","emerge","ant","submerge"
"Choose the antonym for 'petty'.","[""arduous"",""nuisance"",""important"",""intentional""]","important","ant","petty"
"Choose the antonym for 'intentional'.","[""inflame"",""accidental"",""pare"",""vend""]","accidental","ant","intentional"
"Choose the antonym for 'compulsory'.","[""blot"",""voluntary"",""implore"",""deprive""]","voluntary","ant","compulsory"
"Choose the antonym for 'voluntary'.","[""compulsory"",""sage"",""prophecy"",""intermittently""]","compulsory","ant","voluntary"
"Choose the antonym for 'diminish'.","[""isolation"",""startle"",""futile"",""increase""]","increase","ant","diminish"
"Choose the antonym for 'rupture'.","[""submerge"",""repair"",""subordinate"",""ingredient""]","repair","ant","rupture"
"Choose the antonym for 'rift'.","[""cuisine"",""apprehension"",""idiosyncrasy"",""unity""]","unity","ant","rift"
"Choose the antonym for 'impervious'.","[""tactful"",""permeable"",""tardy"",""stern""]","permeable","ant","impervious"
"Choose the antonym for 'eccentric'.","[""conventional"",""mist"",""imperious"",""probation""]","conventional","ant","eccentric"
